"Município";"2021";"2022";" Total"
"320010 AFONSO CLAUDIO";"85,98";"79,04";"82,43"
"320013 AGUIA BRANCA";"31,75";"103,88";"68,24"
"320016 AGUA DOCE DO NORTE";"75,79";"67,21";"71,58"
"320020 ALEGRE";"70,73";"33,87";"52,56"
"320030 ALFREDO CHAVES";"76,77";"134,13";"102,49"
"320035 ALTO RIO NOVO";"87,00";"110,00";"97,89"
"320040 ANCHIETA";"95,97";"76,79";"86,13"
"320050 APIACA";"125,00";"108,11";"115,94"
"320060 ARACRUZ";"81,68";"88,09";"84,82"
"320070 ATILIO VIVACQUA";"98,66";"84,21";"91,36"
"320080 BAIXO GUANDU";"89,92";"105,90";"97,84"
"320090 BARRA DE SAO FRANCISCO";"92,51";"71,43";"82,00"
"320100 BOA ESPERANCA";"84,86";"84,04";"84,42"
"320110 BOM JESUS DO NORTE";"111,49";"161,33";"134,57"
"320115 BREJETUBA";"72,20";"87,02";"79,06"
"320120 CACHOEIRO DE ITAPEMIRIM";"73,21";"77,46";"75,31"
"320130 CARIACICA";"76,96";"79,35";"78,13"
"320140 CASTELO";"82,30";"83,89";"83,11"
"320150 COLATINA";"53,02";"44,79";"48,88"
"320160 CONCEICAO DA BARRA";"69,46";"117,03";"93,56"
"320170 CONCEICAO DO CASTELO";"82,22";"71,59";"76,97"
"320180 DIVINO DE SAO LOURENCO";"82,76";"64,06";"72,95"
"320190 DOMINGOS MARTINS";"90,89";"77,07";"84,22"
"320200 DORES DO RIO PRETO";"91,67";"84,62";"88,27"
"320210 ECOPORANGA";"86,06";"60,53";"72,93"
"320220 FUNDAO";"34,46";"79,47";"56,79"
"320225 GOVERNADOR LINDENBERG";"109,02";"98,51";"103,75"
"320230 GUACUI";"81,58";"85,75";"83,69"
"320240 GUARAPARI";"57,97";"73,08";"65,53"
"320245 IBATIBA";"94,71";"92,07";"93,40"
"320250 IBIRACU";"76,32";"68,94";"72,93"
"320255 IBITIRAMA";"24,09";"61,81";"43,42"
"320260 ICONHA";"107,41";"79,10";"93,31"
"320265 IRUPI";"28,90";"83,51";"54,19"
"320270 ITAGUACU";"98,57";"48,03";"72,26"
"320280 ITAPEMIRIM";"36,94";"66,14";"51,64"
"320290 ITARANA";"83,93";"106,19";"95,11"
"320300 IUNA";"73,23";"97,28";"84,41"
"320305 JAGUARE";"68,91";"79,49";"74,39"
"320310 JERONIMO MONTEIRO";"81,25";"127,05";"102,26"
"320313 JOAO NEIVA";"113,45";"75,00";"93,31"
"320316 LARANJA DA TERRA";"97,46";"92,31";"95,05"
"320320 LINHARES";"61,48";"83,01";"72,34"
"320330 MANTENOPOLIS";"93,25";"50,83";"70,93"
"320332 MARATAIZES";"97,39";"76,19";"86,66"
"320334 MARECHAL FLORIANO";"98,67";"109,90";"103,98"
"320335 MARILANDIA";"81,29";"97,39";"88,89"
"320340 MIMOSO DO SUL";"97,14";"71,88";"84,33"
"320350 MONTANHA";"95,91";"137,41";"117,00"
"320360 MUCURICI";"104,17";"102,63";"103,38"
"320370 MUNIZ FREIRE";"82,58";"94,17";"88,10"
"320380 MUQUI";"98,22";"164,08";"128,30"
"320390 NOVA VENECIA";"88,54";"75,32";"81,98"
"320400 PANCAS";"89,92";"95,98";"92,86"
"320405 PEDRO CANARIO";"72,63";"120,66";"94,01"
"320410 PINHEIROS";"91,69";"75,97";"83,95"
"320420 PIUMA";"68,73";"66,47";"67,60"
"320425 PONTO BELO";"142,86";"107,32";"124,53"
"320430 PRESIDENTE KENNEDY";"102,26";"87,10";"94,75"
"320435 RIO BANANAL";"88,10";"102,16";"94,93"
"320440 RIO NOVO DO SUL";"55,41";"89,23";"70,73"
"320450 SANTA LEOPOLDINA";"107,08";"68,55";"86,92"
"320455 SANTA MARIA DE JETIBA";"76,27";"89,18";"82,49"
"320460 SANTA TERESA";"87,92";"80,26";"84,05"
"320465 SAO DOMINGOS DO NORTE";"88,39";"112,62";"100,00"
"320470 SAO GABRIEL DA PALHA";"71,91";"67,87";"69,76"
"320480 SAO JOSE DO CALCADO";"93,75";"88,03";"91,02"
"320490 SAO MATEUS";"73,47";"71,15";"72,28"
"320495 SAO ROQUE DO CANAA";"106,42";"111,11";"108,76"
"320500 SERRA";"86,22";"78,50";"82,39"
"320501 SOORETAMA";"78,60";"82,44";"80,54"
"320503 VARGEM ALTA";"85,25";"95,95";"90,29"
"320506 VENDA NOVA DO IMIGRANTE";"92,78";"103,61";"97,98"
"320510 VIANA";"59,55";"75,67";"67,53"
"320515 VILA PAVAO";"91,67";"101,94";"96,98"
"320517 VILA VALERIO";"100,44";"74,45";"87,50"
"320520 VILA VELHA";"75,27";"73,17";"74,24"
"320530 VITORIA";"78,05";"77,54";"77,80"
"Total";"77,41";"79,00";"78,20"
